text,Label,a1,a2
"Due to the continued threat of the #coronavirus, #Peking University has opted to move classes online. Professor John Edward Hopcroft, Professor John Keith Zacharias, and Professor Donald David Stone reached out to offer words of encouragement to students. https://t.co/RmDq3ndhB3 https://t.co/tziY5YnLuj",INFORMATIVE,,
"If we did all the things we are capable of, we would literally astound ourselves. - 
#ThomasEdison #BusinessMindset #LifeLessons #China",UNINFORMATIVE,,
#davidabel and his wife have been completely let down by the uk government come on @BorisJohnson sort a flight home for the British people out in China to get them home,INFORMATIVE,,
@beylanhope Heard one way flights to Wuhan are dirt cheap,UNINFORMATIVE,,
"Other details: 80% of coronavirus deaths are of those aged 60 and above. 64% are men. 

It’s 20 times deadlier than the flu with a mortality rate of 2.3%.",INFORMATIVE,,
"#coronavirus ,#medicine Indian companies procure about 70% of the active pharmaceutical ingredients (APIs) for their medicines from China. So price of generic drugs may increase with reduced available due to coronavirus in China. Immediate measures needed to stop black-marketing. https://t.co/yMUHO0fKdR",INFORMATIVE,,
"—The new coronavirus appears much deadlier than the seasonal flu
—U.S. officials learned cruise ship evacuees were infected at the last minute
—Cambodia’s leader is famously complacent about the coronavirus, which may exact a global toll

Latest updates:
https://t.co/HOla7jCWvV",INFORMATIVE,,
I’m tired off hearing about the coronavirus,UNINFORMATIVE,,
"BREAKING: British couple David and Sally Abel have tested positive for the #coronavirus. 
They've been on board the quarantined #DiamondPrincess.
Last week Sally told #BBCBreakfast ""It is a nightmare"" ??
More here: https://t.co/2KHMO6Yo68 https://t.co/GcrUsDA9bV",INFORMATIVE,,
"Liu Zhiming, director of the Wuchang hospital in Wuhan, died from the novel coronavirus on Tuesday morning, according to the city of Wuhan’s Health Commission. https://t.co/Ai2Iz8GeUL",INFORMATIVE,,
American cruise passengers quarantined at US military bases  https://t.co/ZVeWIhDf89,INFORMATIVE,,
Why is Bill Gates constantly giving us reports on the virus capabilities like he's a medical scientist? Is he an investor in this project?! https://t.co/G7dwOLR3A9,UNINFORMATIVE,,
"IAM Platform Curated Tweet

The coronavirus could cripple China’s economy for longer than Wall Street wants to believe

https://t.co/ro468wj84P

#business #BusinessPlan #BusinessStrategy #Education #Entrepreneur wptr1",UNINFORMATIVE,,
"78 Indonesians who are working on the Diamond Princess are still working to serve passengers amid #coronavirus lockdown. One tells the ABC that they are worried because staff haven’t been tested for the disease, only passengers https://t.co/I1lsTlldT0",INFORMATIVE,,
"hence why my children won't be vaccinated if i ever have any. whats the point of using a product if the product itself fails to prevent the thing its designed to prevent?
look at spacex rockets, years of testing, and yesterday the reuseable rockets still failed to land properly. https://t.co/678zn10Vhr",UNINFORMATIVE,,
"Hi, I’m your neighbor: Residents rescue their neighbors’ stranded pets, whose owners cannot come home due to transportation restrictions implemented in response to the #COVID19 outbreak. https://t.co/KovVC4NerR https://t.co/sf0E0ldyC8",UNINFORMATIVE,,
WHAT IS GOING ON? WHERE ARE THEY TAKING THESE PEOPLE AND DO THEY EVER RETURN? Where is the US MSM why aren't they covering this. #HumanRightsViolations #coronavirus https://t.co/B4Sd0WJilN,UNINFORMATIVE,,
"@BBCWorld Is it a right way to identify the risk? After all, China has so many people. Nobody wants the terrorist attack happen again.",UNINFORMATIVE,,
"BREAKING: The Philippines will allow citizens employed in Hong Kong and Macau to return to their jobs, partially lifting a ban imposed earlier this month to prevent the spread of the coronavirus
https://t.co/LPb65eqU6l https://t.co/J8R1sHoIwn",INFORMATIVE,,
"We were told it wasn’t as deadly as the flu.

Now it is considered 20x as deadly.

Our media, experts and the WHO have failed us.

Censorship has failed us. https://t.co/RdZCvbef17",UNINFORMATIVE,,
"Thousands of containers of frozen pork, chicken and beef are piling up at some of China’s major ports https://t.co/7EovNFof4f",UNINFORMATIVE,,
"Coronavirus live updates: Director of hospital in Wuhan, China dies https://t.co/0P2rz9SbdV ?? @CNBCi",INFORMATIVE,,
Britons David Abel and his wife Sally who are on the Diamond Princess cruise ship have said on Facebook they have tested positive for COVID-19 Coronavirus,INFORMATIVE,,
I have uploaded delicious #DalMash (#White #Lentil) fry #cooking #recipe #video. Subscribe my channel&amp;follow 4 cooking videos. #ThankYou #TuesdayThoughts #PSL2020 #tecnomobilepakistan #Karachi #PakistanHeavenOnEarth #BeroccaCallsGladiators #China #CHEMUN https://t.co/jOJIeplufS,UNINFORMATIVE,,
BREAKING: Three Indonesian crew members test positive for COVID-19 aboard Diamond Princess #jakpost https://t.co/SUl8fVp8IR,INFORMATIVE,,
"For context of my last tweet 

&gt; Opens twitch 
&gt; Clicks "" just chatting"" 
&gt; Clicks random stream 
&gt; "" UK says 60% UK coronavirus outbreak"" 

So I asked "" 60% uk coronavirus outbreak ? "" 
"" Are you trying to say that 60% of UK has coronavirus ? """,INFORMATIVE,,
"Apple says the coronavirus outbreak is limiting how many devices it can make and sell in China, and that it doesn't expect to meet revenue projections it provided last month https://t.co/4hzjC16xO1 https://t.co/g9ugSxJfOI",UNINFORMATIVE,,
Donald “What me worry?” Trump too busy circling a racetrack to pay attention to a worldwide epidemic!!!! https://t.co/yvpKi58cVg,INFORMATIVE,,
"Unable to obtain any masks amid the #coronavirus outbreak, this Chinese woman had no choice but to turn to a costume for protection instead. https://t.co/GnjtG9iio0",UNINFORMATIVE,,
China urged to delay purchase elements of US trade deal as outbreak rocks economy - South China Morning Post,INFORMATIVE,,
"?@BorisJohnson? you need to read this, don’t be a Chamberlain !

Japan approves bill to help firms to develop 5G, drone technologies amid growing alarm among Tokyo policy makers over the influence of China telecom Coronavirus 5G - https://t.co/DaGhFIzKGo",INFORMATIVE,,
"This is probably the bravest person alive. This woman has very probably signed her own death warrant. This will likely be her swan song, as powerful a cry from the heart as I have ever heard. Get this out, please. https://t.co/53bJ6Gtoyh",UNINFORMATIVE,,
"Taehyung ranked #2 in Daily &amp; #1 weekly rankings for the Aiman index in china ????

He was #1 in the first week of February as well https://t.co/PosfA5zzp0",INFORMATIVE,,
"BREAKING: Many leading Chinese scientists are starting to speak out and say COVID-19 (coronavirus) originated at a government bioweapons research facility in Wuhan, rather than the widely-held belief that it emerged from the city's Huanan seafood markets.

https://t.co/DsxwJSAox2 https://t.co/TbshN8eDni",INFORMATIVE,,
"#Coronavirus #pandemic side note

1906 San Francisco earthquake

At the time reported 375 deaths.

The actual number was recently found to be in the 10x larger.

Wikipedia entry
https://t.co/USwthfPmPK

@RaheemKassam @EagleEdMartin @ANTHONYBLOGAN 

#WarRoom2020",INFORMATIVE,,
"Beautiful answer  on double standards #coronavirus #China

https://t.co/9SL24DENSc",UNINFORMATIVE,,
China’s Xi Jinping knew of coronavirus earlier than first thought https://t.co/nbSfIMa55i,INFORMATIVE,,
Glencore monitors coronavirus outbreak as earnings beat forecasts https://t.co/KFrJdmKHBP,INFORMATIVE,,
"China have rolled out temperature screening systems to detect symptoms of #coronavirus en masse at railway n subway stations. The system uses infrared-imaging temperature scanners to an accuracy within 0.1°C, n integrates body n facial recognition tech to identify suspected cases https://t.co/NYKR7spX6j",INFORMATIVE,,
"To allow students to have classes at home during the #COVID19 outbreak, Chinese teachers have transformed themselves into online anchors. Let's take a look at the teachers' live teaching behind the scenes. https://t.co/IcaQW5DZgL",INFORMATIVE,,
A senior doctor at a hospital in the Chinese city of Wuhan has died from the novel coronavirus https://t.co/hVPRSTRuS8,INFORMATIVE,,
"Shares fall in Asia as virus outbreak hits profits, events - https://t.co/BAqMp2Zrxh #LatestComments https://t.co/xv9EsfRrFr",INFORMATIVE,,
British tourists David and Sally Abel test positive for coronavirus https://t.co/33oG4hEqQH https://t.co/YLLEZLNRC7,INFORMATIVE,,
"Chang: Huawei Gets into Our 5G, China Gains Control over America https://t.co/ujZFjV9jDc",UNINFORMATIVE,,
Basically the pharmaceutical industry needs cash so they invented another virus https://t.co/is8MVNg4H6,UNINFORMATIVE,,
"@peripheralecon do you have any insights as to how long the effects of an epidemic take to work out of a system? For the past two months, we've seen suppliers start running out of electronics imported from China, and it seems to be accelerating with popular items with long ETAs",INFORMATIVE,,
We have survived congress. ?? https://t.co/WqWmQVxnQv,INFORMATIVE,,
"A Chinese activist who accused President Xi of a coronavirus coverup has been detained. Sadly, this is the future of free speech in HK if China takes over in 2047. @hk_watch @hk_watch @Stand_with_HK @SolomonYue @Fight4HongKong @BeWaterHKG #HongKong #Hkers

https://t.co/dSZOG8lIkZ",INFORMATIVE,,
"Global stocks fall after Apple warns on coronavirus impact. Warning from world’s most valuable comp sobered investors mood. Kitchen sink charge of $7.3bn at HSBC adds to gloom. Offshore Yuan weakens beyond 7 per Dollar. Bonds rise w/US 10y drop to 1.55%. Gold 1586, Bitcoin $9.8k. https://t.co/3iDl5HmTyU",INFORMATIVE,,
"HSBC to cut 35,000 jobs worldwide as profits plunge | Business | The Guardian https://t.co/rfhQlsvhc9",INFORMATIVE,,
"Juan Williams: Trump must be held to account over coronavirus.

 https://t.co/TvxRPp5N2Q",INFORMATIVE,,
Read how we are helping our clients and vendors navigate the Coronavirus COVID-19 situation https://t.co/1iHiLTB7DY  #coronavirus #COVID19 #meetings #incentives #events #financialrisk #riskmanagement #meetingescrow https://t.co/hz9cuA9V9n,INFORMATIVE,,
I feel like @MissSaraAndrews’s 3 billboards campaign just got a 4th billboard! https://t.co/0dOjxu7Ycq,UNINFORMATIVE,,
This 18 seconds is probably the best single piece of advice I’ve heard about the #coronavirus https://t.co/buDs1fhdwL,INFORMATIVE,,
Rona Defender is the newest Avenger https://t.co/IsPUFSHu1G,UNINFORMATIVE,,
Twitter should block and remove this sick shit. This is so GROSS! Report this Slut. https://t.co/JOWv45Kuzv,UNINFORMATIVE,,
uni students during online class due to covid-19 https://t.co/dQ7ETRPhJL,INFORMATIVE,,
"Would you trust test results from Jared's Brother? That's who runs the company. 
Here’s how the Kushner family is cashing in on the coronavirus https://t.co/5M0iHAosb8",INFORMATIVE,,
Covid19 is shaking https://t.co/O29utrErPO,UNINFORMATIVE,,
"Friend of mine is a CEO of a small company. An employee of his tested positive for coronavirus, so my friend shut down the office &amp; self-quarantined. My friend felt fine until NINE DAYS later, when he developed all the symptoms. He’s doing ok thank goodness, but 9 days?!",INFORMATIVE,,
Number of confirmed Corona patients crossed 100 in Pakistan. I am sure there are more untested positive cases. Pakistan's strategy so far to reduce the number of Corona patients is not to test local population ...This is flawed strategy.,INFORMATIVE,,
"This 2011 movie - Contagion was so prophetic about #Coronavirus .
A must watch

https://t.co/1VzyP2g8S7",UNINFORMATIVE,,
"Sleepy Joe’s coronavirus plan: Do EXACTLY what @realDonaldTrump is doing.

Plagiarist Joe taking a cue from the Trump administration, which has taken unprecedented action.

#DemDebate",INFORMATIVE,,
"Let us all #socialdistance and reunite when the situation is under control. Hold on everybody, take care of yourself and your families! 
https://t.co/zfMvxasRXD",UNINFORMATIVE,,
COVID-19 Resource Hub | News in the Diocese | Anglican Diocese of Niagara https://t.co/HBUyW8nU9y via @NiagaraAnglican,INFORMATIVE,,
Act as if you *already* have COVID-19,UNINFORMATIVE,,
@easyJet @marcuslennox HI! PLEASE answer my DM. I need you to cancel my flight. I can not travel outside of Canada due to COVID-19,INFORMATIVE,,
#TheKillers’ Brandon Flowers washes his hands to “Mr. Brightside” amid Coronavirus outbreak. https://t.co/U8QlwyQYLL,UNINFORMATIVE,,
"Why do I feel this hysteria is being created to destabilize the country, and destroy the unparalleled and historic economic successes of President @realDonaldTrump?

Worldwide Deaths... Jan-Feb 2020
2,360:       Coronavirus
69,602:     Common Cold/Flu
240,950:   HIV",INFORMATIVE,,
There's a special place in hell for the rich fucks who think that COVID-19 is a blessing and that the Earth is healing itself. LOOK AROUND U BURGIS FUCKS THE WORLD IS ABOUT TO END AND YALL ARE SITTING PRETTY THINKING ITS SOME CLEANSING CYCLE??? hope it cleans you up then ??????,INFORMATIVE,,
"We are closely monitoring Covid-19. The recommended measures for public gatherings in Toronto are in effect until Apr 5, so for now, the Apr 25 Yogathon is on. This may change. Your health &amp; safety is our priority.?? With Gratitude. https://t.co/qRu9dNyia6",INFORMATIVE,,
